STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
22263,2,842441,814483,29/8/2022,
22376,2,838237,816734,29/8/2022,
22430,2,836083,821947,29/8/2022,
22498,2,836450,817755,29/8/2022,
22588,2,838892,822360,29/8/2022,
22635,2,841261,819821,29/8/2022,
22638,2,841670,817829,29/8/2022,
22645,2,841634,818528,29/8/2022,
22646,2,841873,818700,29/8/2022,
22663,2,842119,818639,29/8/2022,
22889,2,833843,822443,29/8/2022,
22907,2,834588,819944,29/8/2022,
22957,2,841450,820413,29/8/2022,
23094,2,842371,819840,29/8/2022,
23097,2,842234,819844,29/8/2022,
23123,2,846030,826813,29/8/2022,
23124,2,845292,827056,29/8/2022,
23125,2,845283,827711,29/8/2022,
23126,2,846010,826275,29/8/2022,
23127,2,846220,826409,29/8/2022,
23135,2,841256,819516,29/8/2022,
23279,2,820996,833973,29/8/2022,
23285,2,822594,836831,29/8/2022,
23290,2,825464,837531,29/8/2022,
23291,2,824926,837021,29/8/2022,
23296,2,821424,833732,29/8/2022,
23392,2,814421,826048,29/8/2022,
23406,2,826515,840382,29/8/2022,
23440,2,835395,820333,29/8/2022,
23442,2,814331,829724,29/8/2022,
23492,2,837370,827113,29/8/2022,
23548,2,837715,826941,29/8/2022,
23562,2,840556,828428,29/8/2022,
23588,2,821156,834105,29/8/2022,
23589,2,825040,830480,29/8/2022,
23590,2,829212,831970,29/8/2022,
23592,2,822929,831631,29/8/2022,
23593,2,819957,836051,29/8/2022,
23621,2,830105,825889,29/8/2022,
23623,2,829170,828416,29/8/2022,
23645,2,829959,825635,29/8/2022,
23657,2,832659,825974,29/8/2022,
23662,2,830128,825903,29/8/2022,
23666,2,830652,826566,29/8/2022,
23675,2,832291,824838,29/8/2022,
23685,2,829941,825606,29/8/2022,
23721,2,831210,824219,29/8/2022,
23722,2,831193,824100,29/8/2022,
23727,2,827320,824670,29/8/2022,
23729,2,829039,824520,29/8/2022,
23738,2,829075,822769,29/8/2022,
23739,2,829147,822858,29/8/2022,
23745,2,831158,824139,29/8/2022,
23752,2,829041,823274,29/8/2022,
23753,2,826776,823587,29/8/2022,
23761,2,830019,825461,29/8/2022,
23764,2,830732,825178,29/8/2022,
23767,2,831600,824878,29/8/2022,
23769,2,830909,824851,29/8/2022,
23776,2,831148,824183,29/8/2022,
23870,2,829174,826661,29/8/2022,
23873,2,830041,826107,29/8/2022,
23882,2,830301,825934,29/8/2022,
23884,2,830122,825762,29/8/2022,
23891,2,822768,824852,29/8/2022,
23897,2,828019,825896,29/8/2022,
23903,2,828453,825732,29/8/2022,
24103,2,829324,823854,29/8/2022,
24134,2,827957,824246,29/8/2022,
24202,2,824376,834345,29/8/2022,
24204,2,825933,834284,29/8/2022,
24205,2,824481,835220,29/8/2022,
24206,2,819799,832550,29/8/2022,
24366,2,824743,832818,29/8/2022,
24480,2,821332,832544,29/8/2022,
24482,2,821888,831808,29/8/2022,
24487,2,821883,831798,29/8/2022,
24536,2,835483,820357,29/8/2022,
24660,2,840257,821021,29/8/2022,
24672,2,842268,814174,29/8/2022,
24732,2,825774,840952,29/8/2022,
25236,2,829366,822648,29/8/2022,
25309,2,820945,834945,29/8/2022,
25366,2,834665,821214,29/8/2022,
25386,2,828199,839472,29/8/2022,
26190,2,834400,819964,29/8/2022,
27007,2,839546,827567,29/8/2022,
28002,2,839682,821662,29/8/2022,
28963,2,840520,820914,29/8/2022,
29003,2,842612,819096,29/8/2022,
29056,2,842622,817460,29/8/2022,
29058,2,821369,834427,29/8/2022,
29226,2,828069,824292,29/8/2022,
29287,2,814962,826134,29/8/2022,
29303,2,842377,817812,29/8/2022,
29306,2,821701,834765,29/8/2022,
29312,2,820541,834242,29/8/2022,
29318,2,826117,837659,29/8/2022,
29421,2,842705,817319,29/8/2022,
29463,2,823407,834676,29/8/2022,
29479,2,838858,817158,29/8/2022,
29598,2,839564,819678,29/8/2022,
29610,2,829450,825460,29/8/2022,
29660,2,821157,834719,29/8/2022,
20000020,2,835012,815511,29/8/2022,
20000066,2,835025,815585,29/8/2022,
20000080,2,831295,815657,29/8/2022,
20000090,2,830955,815809,29/8/2022,
20000093,2,837043,815530,29/8/2022,
20000099,2,840016,809004,29/8/2022,
20000101,2,839181,808610,29/8/2022,
20000102,2,842489,814048,29/8/2022,
20000103,2,842480,814009,29/8/2022,
