STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
22263,2,842441,814483,5/7/2022,
22376,2,838237,816734,5/7/2022,
22430,2,836083,821947,5/7/2022,
22498,2,836450,817755,5/7/2022,
22588,2,838892,822360,5/7/2022,
22635,2,841261,819821,5/7/2022,
22638,2,841670,817829,5/7/2022,
22645,2,841634,818528,5/7/2022,
22646,2,841873,818700,5/7/2022,
22663,2,842119,818639,5/7/2022,
22889,2,833843,822443,5/7/2022,
22907,2,834588,819944,5/7/2022,
22957,2,841450,820413,5/7/2022,
23094,2,842371,819840,5/7/2022,
23097,2,842234,819844,5/7/2022,
23123,2,846030,826813,5/7/2022,
23124,2,845292,827056,5/7/2022,
23125,2,845283,827711,5/7/2022,
23126,2,846010,826275,5/7/2022,
23127,2,846220,826409,5/7/2022,
23135,2,841256,819516,5/7/2022,
23279,2,820996,833973,5/7/2022,
23285,2,822594,836831,5/7/2022,
23290,2,825464,837531,5/7/2022,
23291,2,824926,837021,5/7/2022,
23296,2,821424,833732,5/7/2022,
23392,2,814421,826048,5/7/2022,
23406,2,826515,840382,5/7/2022,
23440,2,835395,820333,5/7/2022,
23442,2,814331,829724,5/7/2022,
23492,2,837370,827113,5/7/2022,
23548,2,837715,826941,5/7/2022,
23562,2,840556,828428,5/7/2022,
23588,2,821156,834105,5/7/2022,
23589,2,825040,830480,5/7/2022,
23590,2,829212,831970,5/7/2022,
23592,2,822929,831631,5/7/2022,
23593,2,819957,836051,5/7/2022,
23621,2,830105,825889,5/7/2022,
23623,2,829170,828416,5/7/2022,
23645,2,829959,825635,5/7/2022,
23657,2,832659,825974,5/7/2022,
23662,2,830128,825903,5/7/2022,
23666,2,830652,826566,5/7/2022,
23675,2,832291,824838,5/7/2022,
23685,2,829941,825606,5/7/2022,
23721,2,831210,824219,5/7/2022,
23722,2,831193,824100,5/7/2022,
23727,2,827320,824670,5/7/2022,
23729,2,829039,824520,5/7/2022,
23738,2,829075,822769,5/7/2022,
23739,2,829147,822858,5/7/2022,
23745,2,831158,824139,5/7/2022,
23752,2,829041,823274,5/7/2022,
23753,2,826776,823587,5/7/2022,
23761,2,830019,825461,5/7/2022,
23764,2,830732,825178,5/7/2022,
23767,2,831600,824878,5/7/2022,
23769,2,830909,824851,5/7/2022,
23776,2,831148,824183,5/7/2022,
23870,2,829174,826661,5/7/2022,
23873,2,830041,826107,5/7/2022,
23882,2,830301,825934,5/7/2022,
23884,2,830122,825762,5/7/2022,
23891,2,822768,824852,5/7/2022,
23897,2,828019,825896,5/7/2022,
23903,2,828453,825732,5/7/2022,
24103,2,829324,823854,5/7/2022,
24134,2,827957,824246,5/7/2022,
24202,2,824376,834345,5/7/2022,
24204,2,825933,834284,5/7/2022,
24205,2,824481,835220,5/7/2022,
24206,2,819799,832550,5/7/2022,
24366,2,824743,832818,5/7/2022,
24480,2,821332,832544,5/7/2022,
24482,2,821888,831808,5/7/2022,
24487,2,821883,831798,5/7/2022,
24536,2,835483,820357,5/7/2022,
24660,2,840257,821021,5/7/2022,
24672,2,842268,814174,5/7/2022,
24732,2,825774,840952,5/7/2022,
25236,2,829366,822648,5/7/2022,
25309,2,820945,834945,5/7/2022,
25366,2,834665,821214,5/7/2022,
25386,2,828199,839472,5/7/2022,
26190,2,834400,819964,5/7/2022,
27007,2,839546,827567,5/7/2022,
28002,2,839682,821662,5/7/2022,
28963,2,840520,820914,5/7/2022,
29003,2,842612,819096,5/7/2022,
29056,2,842622,817460,5/7/2022,
29058,2,821369,834427,5/7/2022,
29226,2,828069,824292,5/7/2022,
29287,2,814962,826134,5/7/2022,
29303,2,842377,817812,5/7/2022,
29306,2,821701,834765,5/7/2022,
29312,2,820541,834242,5/7/2022,
29318,2,826117,837659,5/7/2022,
29421,2,842705,817319,5/7/2022,
29463,2,823407,834676,5/7/2022,
29479,2,838858,817158,5/7/2022,
29598,2,839564,819678,5/7/2022,
29610,2,829450,825460,5/7/2022,
29660,2,821157,834719,5/7/2022,
20000020,2,835012,815511,5/7/2022,
20000066,2,835025,815585,5/7/2022,
20000080,2,831295,815657,5/7/2022,
20000090,2,830955,815809,5/7/2022,
20000093,2,837043,815530,5/7/2022,
20000099,2,840016,809004,5/7/2022,
20000101,2,839181,808610,5/7/2022,
20000102,2,842489,814048,5/7/2022,
20000103,2,842480,814009,5/7/2022,
20000104,2,844173,812499,5/7/2022,
20000120,2,842016,814320,5/7/2022,
20000126,2,832157,813282,5/7/2022,
20000140,2,838312,814758,5/7/2022,
20000142,2,838525,816028,5/7/2022,
20000160,2,834974,811599,5/7/2022,
20000165,2,837445,814115,5/7/2022,
20000210,2,838828,817013,5/7/2022,
20000218,2,833950,812243,5/7/2022,
20000238,2,834172,811608,5/7/2022,
20000243,2,837771,815977,5/7/2022,
20000246,2,839628,809048,5/7/2022,
20000247,2,839269,809280,5/7/2022,
20000253,2,840470,808526,5/7/2022,
20000254,2,841883,813533,5/7/2022,
20000255,2,842470,814018,5/7/2022,
20000257,2,843837,813725,5/7/2022,
20000263,2,842449,814479,5/7/2022,
20000264,2,842404,814033,5/7/2022,
20000272,2,832441,812333,5/7/2022,
20000275,2,833587,812651,5/7/2022,
20000284,2,834543,816425,7/8/2022,
20000302,2,832792,815983,5/7/2022,
20000311,2,837208,815519,5/7/2022,
20000315,2,838770,816924,5/7/2022,
20000324,2,835071,815460,5/7/2022,
20000326,2,834073,812111,5/7/2022,
20000331,2,830792,814553,5/7/2022,
20000341,2,834039,812143,5/7/2022,
20000343,2,835129,811790,5/7/2022,
20000348,2,830903,814758,5/7/2022,
20000356,2,833420,811552,5/7/2022,
20000366,2,831543,814676,5/7/2022,
20000409,2,835553,820159,5/7/2022,
20000418,2,837712,818467,5/7/2022,
20000454,2,834683,820383,5/7/2022,
20000465,2,836353,820091,5/7/2022,
20000489,2,837848,819805,5/7/2022,
20000540,2,835260,822000,5/7/2022,
20000546,2,835497,820628,5/7/2022,
20000547,2,835786,820340,5/7/2022,
20000561,2,837271,822170,5/7/2022,
20000579,2,838163,822613,5/7/2022,
20000582,2,838141,823362,5/7/2022,
20000586,2,838281,821788,5/7/2022,
20000588,2,838883,822384,5/7/2022,
20000592,2,838688,823305,5/7/2022,
20000615,2,838064,822459,5/7/2022,
20000620,2,834743,819860,5/7/2022,
20000678,2,837525,819578,4/8/2022,
20000681,2,837844,818732,4/8/2022,
20000691,2,834830,818451,4/8/2022,
20000704,2,837314,819894,5/7/2022,
20000720,2,835583,820164,5/7/2022,
20000745,2,834958,822282,5/7/2022,
20000753,2,835015,822383,5/7/2022,
20000758,2,835311,822550,5/7/2022,
20000796,2,839855,822519,5/7/2022,
20000797,2,839807,822542,5/7/2022,
20000800,2,837922,822406,5/7/2022,
20000818,2,838162,822585,5/7/2022,
20000831,2,837431,822064,5/7/2022,
20000872,2,834957,819489,5/7/2022,
20000953,2,841420,820834,5/7/2022,
20000960,2,839296,821168,5/7/2022,
20000973,2,837453,822228,5/7/2022,
20000989,2,841182,819634,5/7/2022,
20000995,2,835762,818583,5/7/2022,
20001099,2,839417,822431,5/7/2022,
20001112,2,846211,826936,5/7/2022,
20001113,2,844771,825076,8/7/2022,
20001115,2,840016,820304,5/7/2022,
20001116,2,839488,821774,5/7/2022,
20001118,2,838807,822099,5/7/2022,
20001120,2,846062,826789,5/7/2022,
20001121,2,843483,823999,5/7/2022,
20001128,2,850940,828670,5/7/2022,
20001129,2,851821,835619,5/7/2022,
20001130,2,851150,829838,5/7/2022,
20001140,2,845765,819851,5/7/2022,
20001149,2,844619,820489,29/7/2022,
20001159,2,844469,819468,5/7/2022,
20001161,2,845759,819882,5/7/2022,
20001162,2,845425,819792,8/7/2022,
20001174,2,844566,820419,5/7/2022,
20001193,2,835604,833821,5/7/2022,
20001194,2,835073,834259,5/7/2022,
20001198,2,836002,835599,5/7/2022,
20001200,2,835123,834292,5/7/2022,
20001202,2,840055,835267,5/7/2022,
20001207,2,833369,836039,5/7/2022,
20001210,2,834251,834357,5/7/2022,
20001212,2,834849,832322,5/7/2022,
20001221,2,835535,834610,5/7/2022,
20001222,2,835380,834303,5/7/2022,
20001230,2,841892,831741,5/7/2022,
20001231,2,841875,831798,5/7/2022,
20001234,2,841919,831689,5/7/2022,
20001264,2,821153,834062,5/7/2022,
20001269,2,812200,831985,5/7/2022,
20001276,2,816417,836470,5/7/2022,
20001282,2,821590,834120,18/8/2022,
20001288,2,821275,833886,4/8/2022,
20001296,2,821414,833730,5/7/2022,
20001311,2,815343,828380,5/7/2022,
20001327,2,816103,831575,5/7/2022,
20001344,2,815568,828721,5/7/2022,
20001360,2,816300,826765,5/7/2022,
20001372,2,815747,827022,5/7/2022,
20001373,2,815574,827309,5/7/2022,
20001384,2,831217,840270,5/7/2022,
20001406,2,826502,840374,5/7/2022,
20001453,2,832432,839108,5/7/2022,
20001455,2,832906,840075,5/7/2022,
20001457,2,832320,839265,5/7/2022,
20001470,2,832631,840099,5/7/2022,
20001477,2,841074,845088,5/7/2022,
20001483,2,840324,842725,5/7/2022,
20001492,2,837371,827104,5/7/2022,
20001502,2,837472,828998,5/7/2022,
20001514,2,836525,824987,5/7/2022,
20001515,2,838123,827572,5/7/2022,
20001522,2,838318,829165,5/7/2022,
20001544,2,840500,826994,5/7/2022,
20001569,2,837640,826965,8/7/2022,
20001570,2,837421,826748,5/7/2022,
20001573,2,836518,825956,5/7/2022,
20001655,2,832186,825239,5/7/2022,
20001658,2,832329,825852,8/7/2022,
20001661,2,830043,825545,5/7/2022,
20001675,2,832310,824838,5/7/2022,
20001677,2,832364,825057,5/7/2022,
20001888,2,824375,825380,5/7/2022,
20001894,2,824406,825397,5/7/2022,
20001963,2,838375,821744,6/7/2022,
20001974,2,845525,819513,5/7/2022,
20002027,2,839465,820338,5/7/2022,
20002066,2,829484,825692,5/7/2022,
20002071,2,822591,824788,5/7/2022,
20002102,2,831917,822528,5/7/2022,
20002103,2,829314,823851,18/8/2022,
20002105,2,828643,824709,5/7/2022,
20002113,2,828092,824042,5/7/2022,
20002115,2,830162,825750,5/7/2022,
20002125,2,832650,825689,8/7/2022,
20002127,2,831158,824209,5/7/2022,
20002176,2,838060,828575,5/7/2022,
20002178,2,830100,825833,5/7/2022,
20002182,2,832379,838495,5/7/2022,
20002183,2,832536,838513,5/7/2022,
20002191,2,841132,819425,5/7/2022,
20002217,2,822668,833640,5/7/2022,
20002221,2,817944,835084,5/7/2022,
20002222,2,835713,817697,5/7/2022,
20002241,2,836005,824735,5/7/2022,
20002242,2,835929,824947,5/7/2022,
20002248,2,842865,831779,5/7/2022,
20002255,2,840302,826898,5/7/2022,
20002257,2,838803,826897,5/7/2022,
20002259,2,838994,827518,5/7/2022,
20002263,2,842468,831560,5/7/2022,
20002264,2,835605,820217,5/7/2022,
20002275,2,839761,830379,5/7/2022,
20002284,2,845716,831954,5/7/2022,
20002327,2,838962,827481,5/7/2022,
20002381,2,829342,825516,5/7/2022,
20002416,2,840081,830758,29/7/2022,
20002474,2,827892,833561,5/7/2022,
20002565,2,834577,833669,5/7/2022,
20002566,2,838524,837041,5/7/2022,
20002567,2,842044,836975,5/7/2022,
20002568,2,834472,834948,5/7/2022,
20002580,2,824473,831211,5/7/2022,
20002597,2,845270,819653,8/7/2022,
20002599,2,846323,827074,8/7/2022,
20002606,2,824381,825346,5/7/2022,
20002608,2,834588,820572,5/7/2022,
20002614,2,833239,821450,5/7/2022,
20002655,2,837005,815512,5/7/2022,
20002663,2,832327,825883,18/8/2022,
20002719,2,831305,815128,7/8/2022,
20003008,2,834012,821133,5/7/2022,
20003010,2,836237,819111,5/7/2022,
20003162,2,849235,827644,5/7/2022,
20003178,2,845580,818709,5/7/2022,
20003192,2,836482,833665,5/7/2022,
20003205,2,831104,840469,5/7/2022,
20003243,2,837446,842747,5/7/2022,
20003279,2,831228,815835,5/7/2022,
20003326,2,836586,840887,5/7/2022,
20003328,2,836650,826866,5/7/2022,
20003330,2,834757,831667,5/7/2022,
20003337,2,831452,813679,5/7/2022,
20003353,2,841167,816223,5/7/2022,
20003363,2,836258,821931,5/7/2022,
20003365,2,838476,823530,5/7/2022,
20003373,2,834875,819588,5/7/2022,
20003387,2,845311,819684,5/7/2022,
20003393,2,817056,834620,5/7/2022,
20003397,2,838389,808131,5/7/2022,
20004115,2,831812,812884,5/7/2022,
20004118,2,831825,812894,5/7/2022,
20004158,2,832401,838280,5/7/2022,
20004165,2,830953,839684,5/7/2022,
20004166,2,831218,839446,5/7/2022,
20004190,2,834407,819949,5/7/2022,
20005007,2,839549,827571,29/7/2022,
20005056,2,835658,815466,5/7/2022,
20006002,2,839690,821658,5/7/2022,
20006105,2,835714,817490,5/7/2022,
20006554,2,835366,834151,5/7/2022,
20006560,2,838259,832263,5/7/2022,
20006602,2,835510,820149,5/7/2022,
20006627,2,838775,829012,5/7/2022,
20006944,2,836950,815759,5/7/2022,
20006957,2,836618,836199,5/7/2022,
20006977,2,843985,818557,5/7/2022,
20006979,2,834371,816093,5/7/2022,
20007008,2,836689,819869,16/7/2022,
20007019,2,839450,820193,5/7/2022,
20007072,2,835114,818904,5/7/2022,
20007080,2,843074,840882,5/7/2022,
20007091,2,838859,832416,5/7/2022,
20007152,2,832314,813080,5/7/2022,
20007153,2,828761,826457,5/7/2022,
20007225,2,835545,820139,5/7/2022,
20007251,2,818390,837495,5/7/2022,
20007252,2,818910,838520,5/7/2022,
20007253,2,836665,826801,5/7/2022,
20007260,2,833182,841054,5/7/2022,
20007287,2,814974,826144,5/7/2022,
20007295,2,839322,837018,5/7/2022,
20007311,2,835872,812508,5/7/2022,
20007313,2,837076,815657,5/7/2022,
20007363,2,844731,826654,5/7/2022,
20007390,2,835672,824893,5/7/2022,
20007395,2,840378,820439,5/7/2022,
20007408,2,834721,815699,5/7/2022,
20007415,2,821710,834100,5/7/2022,
20007473,2,814696,830051,5/7/2022,
20007482,2,840176,835127,5/7/2022,
20007518,2,834042,821856,5/7/2022,
20007525,2,831117,840467,5/7/2022,
20007558,2,813001,819700,5/7/2022,
20007574,2,812919,819827,5/7/2022,
20007589,2,856309,824767,5/7/2022,
20007612,2,835967,818885,5/7/2022,
20007622,2,845738,826745,5/7/2022,
20007623,2,846031,827211,8/7/2022,
20007669,2,841604,820841,5/7/2022,
20007679,2,835209,833654,5/7/2022,
20007691,2,817717,833100,5/7/2022,
20007697,2,817683,835540,5/7/2022,
20007708,2,821770,832866,5/7/2022,
20007715,2,846333,816484,29/7/2022,
20007724,2,834929,819321,5/7/2022,
20007726,2,841058,815435,5/7/2022,
