STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
20000020,2,835012,815511,24/10/2022,
20000066,2,835025,815585,24/10/2022,
20000080,2,831295,815657,24/10/2022,
20000090,2,830955,815809,24/10/2022,
20000093,2,837043,815530,24/10/2022,
20000099,2,840016,809004,24/10/2022,
20000101,2,839181,808610,24/10/2022,
20000102,2,842489,814048,24/10/2022,
20000103,2,842480,814009,24/10/2022,
20000104,2,844173,812499,24/10/2022,
20000120,2,842016,814320,24/10/2022,
20000126,2,832157,813282,24/10/2022,
20000140,2,838312,814758,24/10/2022,
20000142,2,838525,816028,24/10/2022,
20000160,2,834974,811599,24/10/2022,
20000165,2,837445,814115,24/10/2022,
20000210,2,838828,817013,24/10/2022,
20000218,2,833950,812243,24/10/2022,
20000238,2,834172,811608,24/10/2022,
20000243,2,837771,815977,24/10/2022,
20000246,2,839628,809048,24/10/2022,
20000247,2,839269,809280,24/10/2022,
20000253,2,840470,808526,24/10/2022,
20000254,2,841883,813533,24/10/2022,
20000255,2,842470,814018,24/10/2022,
20000257,2,843837,813725,24/10/2022,
20000263,2,842449,814479,24/10/2022,
20000264,2,842404,814033,24/10/2022,
20000272,2,832441,812333,24/10/2022,
20000275,2,833587,812651,24/10/2022,
20000284,2,834543,816425,24/10/2022,
20000302,2,832792,815983,24/10/2022,
20000311,2,837208,815519,24/10/2022,
20000315,2,838770,816924,24/10/2022,
20000324,2,835071,815460,24/10/2022,
20000326,2,834073,812111,24/10/2022,
20000331,2,830792,814553,24/10/2022,
20000341,2,834039,812143,24/10/2022,
20000343,2,835129,811790,24/10/2022,
20000348,2,830903,814758,24/10/2022,
20000356,2,833420,811552,24/10/2022,
20000366,2,831543,814676,24/10/2022,
20000409,2,835553,820159,24/10/2022,
20000418,2,837712,818467,24/10/2022,
20000454,2,834683,820383,24/10/2022,
20000465,2,836353,820091,24/10/2022,
20000489,2,837848,819805,24/10/2022,
20000540,2,835260,822000,24/10/2022,
20000546,2,835497,820628,24/10/2022,
20000547,2,835786,820340,24/10/2022,
20000561,2,837271,822170,24/10/2022,
20000579,2,838163,822613,24/10/2022,
20000582,2,838141,823362,24/10/2022,
20000586,2,838281,821788,24/10/2022,
20000588,2,838883,822384,24/10/2022,
20000592,2,838688,823305,24/10/2022,
20000615,2,838064,822459,24/10/2022,
20000620,2,834743,819860,24/10/2022,
20000678,2,837525,819578,24/10/2022,
20000681,2,837844,818732,24/10/2022,
20000691,2,834830,818451,24/10/2022,
20000704,2,837314,819894,24/10/2022,
20000720,2,835583,820164,24/10/2022,
20000745,2,834958,822282,24/10/2022,
20000753,2,835015,822383,24/10/2022,
20000758,2,835311,822550,24/10/2022,
20000796,2,839855,822519,24/10/2022,
20000797,2,839807,822542,24/10/2022,
20000800,2,837922,822406,24/10/2022,
20000818,2,838162,822585,24/10/2022,
20000831,2,837431,822064,24/10/2022,
20000872,2,834957,819489,24/10/2022,
20000953,2,841420,820834,24/10/2022,
20000960,2,839296,821168,24/10/2022,
20000973,2,837453,822228,24/10/2022,
20000989,2,841182,819634,24/10/2022,
20000995,2,835762,818583,24/10/2022,
20001099,2,839417,822431,24/10/2022,
20001112,2,846211,826936,24/10/2022,
20001113,2,844771,825076,24/10/2022,
20001115,2,840016,820304,24/10/2022,
20001116,2,839488,821774,24/10/2022,
20001118,2,838807,822099,24/10/2022,
20001120,2,846062,826789,24/10/2022,
20001121,2,843483,823999,24/10/2022,
20001128,2,850940,828670,24/10/2022,
20001129,2,851821,835619,24/10/2022,
20001130,2,851150,829838,24/10/2022,
20001149,2,844619,820489,24/10/2022,
20001159,2,844469,819468,24/10/2022,
20001161,2,845759,819882,24/10/2022,
20001162,2,845425,819792,24/10/2022,
20001174,2,844566,820419,24/10/2022,
20001193,2,835604,833821,24/10/2022,
20001194,2,835073,834259,24/10/2022,
20001198,2,836002,835599,24/10/2022,
20001200,2,835123,834292,24/10/2022,
20001202,2,840055,835267,24/10/2022,
20001207,2,833369,836039,24/10/2022,
20001210,2,834251,834357,24/10/2022,
20001212,2,834849,832322,24/10/2022,
20001221,2,835535,834610,24/10/2022,
20001222,2,835380,834303,24/10/2022,
20001230,2,841892,831741,24/10/2022,
20001231,2,841875,831798,24/10/2022,
20001234,2,841919,831689,24/10/2022,
20001264,2,821153,834062,24/10/2022,
20001269,2,812200,831985,24/10/2022,
20001276,2,816417,836470,24/10/2022,
20001282,2,821590,834120,24/10/2022,
20001288,2,821275,833886,24/10/2022,
20001296,2,821414,833730,24/10/2022,
20001311,2,815343,828380,24/10/2022,
20001327,2,816103,831575,24/10/2022,
20001344,2,815568,828721,24/10/2022,
20001360,2,816300,826765,24/10/2022,
20001372,2,815747,827022,24/10/2022,
20001373,2,815574,827309,24/10/2022,
20001384,2,831217,840270,24/10/2022,
20001406,2,826502,840374,1/11/2022,
20001453,2,832432,839108,24/10/2022,
20001455,2,832906,840075,24/10/2022,
20001457,2,832320,839265,24/10/2022,
20001470,2,832631,840099,24/10/2022,
20001477,2,841074,845088,24/10/2022,
20001483,2,840324,842725,24/10/2022,
20001492,2,837371,827104,24/10/2022,
20001502,2,837472,828998,24/10/2022,
20001514,2,836525,824987,24/10/2022,
20001515,2,838123,827572,24/10/2022,
20001522,2,838318,829165,24/10/2022,
20001544,2,840500,826994,24/10/2022,
20001569,2,837640,826965,24/10/2022,
20001570,2,837421,826748,24/10/2022,
