STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
20000003,2,836561,815610,20/9/2022,
20000004,2,836015,815488,20/9/2022,
20000007,2,835382,815370,27/9/2022,
20000008,2,832110,816064,20/9/2022,
20000009,2,831818,816131,20/9/2022,
20000010,2,831703,815911,20/9/2022,
20000011,2,830889,814761,20/9/2022,
20000012,2,831806,816150,20/9/2022,
20000013,2,831878,816170,20/9/2022,
20000015,2,832592,816220,20/9/2022,
20000016,2,832810,816167,20/9/2022,
20000017,2,833376,816031,20/9/2022,
20000018,2,833525,815994,20/9/2022,
20000019,2,833671,815867,20/9/2022,
20000020,2,835012,815511,27/9/2022,
20000021,2,836673,815675,20/9/2022,
20000024,2,834249,815878,20/9/2022,
20000025,2,837165,815391,27/9/2022,
20000026,2,834572,815418,27/9/2022,
20000048,2,836592,815209,20/9/2022,
20000049,2,836603,815353,20/9/2022,
20000052,2,836163,815461,20/9/2022,
20000053,2,836498,815542,20/9/2022,
20000057,2,835609,812390,20/9/2022,
20000058,2,834873,812178,20/9/2022,
20000066,2,835025,815585,20/9/2022,
20000072,2,832051,816088,20/9/2022,
20000075,2,834719,815057,20/9/2022,
20000080,2,831295,815657,20/9/2022,
20000081,2,831165,816038,20/9/2022,
20000084,2,831895,816369,20/9/2022,
20000085,2,831315,815974,28/9/2022,
20000086,2,831276,815969,20/9/2022,
20000087,2,831156,815947,20/9/2022,
20000088,2,831264,815918,20/9/2022,
20000089,2,831361,815730,20/9/2022,
20000090,2,830955,815809,20/9/2022,
20000091,2,831013,815992,20/9/2022,
20000092,2,832298,816270,20/9/2022,
20000093,2,837043,815530,20/9/2022,
20000094,2,838047,814965,20/9/2022,
20000095,2,838006,814843,20/9/2022,
20000096,2,838181,814610,20/9/2022,
20000097,2,838065,814503,20/9/2022,
20000098,2,837756,814288,20/9/2022,
20000099,2,840016,809004,20/9/2022,
20000101,2,839181,808610,20/9/2022,
20000102,2,842489,814048,20/9/2022,
20000103,2,842480,814009,20/9/2022,
20000104,2,844173,812499,20/9/2022,
20000105,2,842998,814397,20/9/2022,
20000106,2,841499,815367,20/9/2022,
20000107,2,841378,815497,20/9/2022,
20000108,2,841348,815549,20/9/2022,
20000109,2,841289,815652,20/9/2022,
20000110,2,841219,815708,20/9/2022,
20000111,2,841088,815750,20/9/2022,
20000117,2,840971,815844,20/9/2022,
20000118,2,841350,815580,20/9/2022,
20000119,2,841465,815407,20/9/2022,
20000120,2,842016,814320,20/9/2022,
20000121,2,837970,815364,20/9/2022,
20000122,2,837963,815354,20/9/2022,
20000123,2,838087,815418,20/9/2022,
20000124,2,838057,815520,20/9/2022,
20000125,2,838237,815064,20/9/2022,
20000126,2,832157,813282,20/9/2022,
20000127,2,832431,813180,20/9/2022,
20000130,2,832422,813173,20/9/2022,
20000134,2,836324,815047,20/9/2022,
20000135,2,836187,814838,20/9/2022,
20000136,2,836182,815105,27/9/2022,
20000137,2,835838,815072,20/9/2022,
20000138,2,835744,815124,27/9/2022,
20000139,2,835718,815465,20/9/2022,
20000140,2,838312,814758,20/9/2022,
20000142,2,838525,816028,20/9/2022,
20000143,2,838591,816218,20/9/2022,
20000146,2,838021,815330,20/9/2022,
20000147,2,837161,815786,20/9/2022,
20000152,2,836457,815121,27/9/2022,
20000157,2,834022,811612,20/9/2022,
20000159,2,835387,811852,20/9/2022,
20000160,2,834974,811599,20/9/2022,
20000161,2,835193,812059,20/9/2022,
20000165,2,837445,814115,20/9/2022,
20000166,2,837338,814245,20/9/2022,
20000169,2,834103,812022,20/9/2022,
20000173,2,833231,816089,20/9/2022,
20000174,2,831648,815878,20/9/2022,
20000175,2,832011,812757,20/9/2022,
20000177,2,832107,812809,20/9/2022,
20000210,2,838828,817013,27/9/2022,
20000211,2,839386,817051,20/9/2022,
20000215,2,839827,816294,20/9/2022,
20000218,2,833950,812243,20/9/2022,
20000219,2,836512,815036,20/9/2022,
20000234,2,834137,811416,20/9/2022,
20000238,2,834172,811608,20/9/2022,
20000239,2,834964,812188,20/9/2022,
20000240,2,835323,812289,20/9/2022,
20000242,2,837588,815784,27/9/2022,
20000243,2,837771,815977,27/9/2022,
20000246,2,839628,809048,20/9/2022,
20000247,2,839269,809280,20/9/2022,
20000248,2,839205,809155,20/9/2022,
20000249,2,839333,809119,20/9/2022,
20000251,2,837262,811887,20/9/2022,
20000253,2,840470,808526,20/9/2022,
20000254,2,841883,813533,20/9/2022,
20000255,2,842470,814018,20/9/2022,
20000256,2,842647,813834,20/9/2022,
20000257,2,843837,813725,20/9/2022,
20000258,2,842668,813816,20/9/2022,
20000260,2,843241,814265,20/9/2022,
20000263,2,842449,814479,20/9/2022,
20000264,2,842404,814033,20/9/2022,
20000266,2,838995,816580,20/9/2022,
20000267,2,838022,816621,27/9/2022,
20000268,2,837852,816067,20/9/2022,
20000270,2,840963,815939,20/9/2022,
20000271,2,840604,815791,20/9/2022,
20000272,2,832441,812333,20/9/2022,
20000273,2,833308,812316,20/9/2022,
20000274,2,833520,812605,20/9/2022,
20000275,2,833587,812651,20/9/2022,
20000276,2,833535,812493,20/9/2022,
20000277,2,834012,812106,20/9/2022,
20000281,2,839322,809107,20/9/2022,
20000282,2,839232,809135,20/9/2022,
20000283,2,839269,809290,20/9/2022,
20000284,2,834543,816425,28/9/2022,
20000289,2,831208,815956,28/9/2022,
20000290,2,831139,815943,28/9/2022,
20000292,2,831133,816032,20/9/2022,
20000294,2,833600,816552,28/9/2022,
20000295,2,834393,816060,28/9/2022,
20000296,2,834317,815945,20/9/2022,
20000297,2,833221,816397,20/9/2022,
20000298,2,832726,816441,20/9/2022,
20000299,2,832588,816446,20/9/2022,
20000300,2,832452,816279,20/9/2022,
20000302,2,832792,815983,27/9/2022,
20000303,2,832688,816188,20/9/2022,
20000304,2,833594,815940,20/9/2022,
20000305,2,833910,815696,20/9/2022,
20000307,2,835324,815429,27/9/2022,
20000308,2,835746,815140,27/9/2022,
20000309,2,835965,815072,27/9/2022,
20000310,2,836251,815144,27/9/2022,
20000311,2,837208,815519,27/9/2022,
20000312,2,838004,816733,20/9/2022,
20000313,2,838078,816821,20/9/2022,
20000314,2,838717,817060,20/9/2022,
20000315,2,838770,816924,27/9/2022,
20000318,2,838129,816751,27/9/2022,
20000322,2,836825,815349,20/9/2022,
20000324,2,835071,815460,27/9/2022,
20000325,2,833666,815592,27/9/2022,
20000326,2,834073,812111,20/9/2022,
20000327,2,834092,812245,20/9/2022,
20000328,2,833773,812126,20/9/2022,
20000329,2,833313,812203,20/9/2022,
20000330,2,831755,813677,20/9/2022,
20000331,2,830792,814553,20/9/2022,
20000332,2,830971,814893,20/9/2022,
20000334,2,831070,814932,20/9/2022,
20000335,2,831691,813814,20/9/2022,
20000336,2,831803,813669,20/9/2022,
20000338,2,831829,813646,20/9/2022,
20000340,2,833876,812341,20/9/2022,
20000341,2,834039,812143,20/9/2022,
20000342,2,835217,811886,20/9/2022,
20000343,2,835129,811790,20/9/2022,
20000347,2,831015,814864,20/9/2022,
20000348,2,830903,814758,20/9/2022,
20000349,2,830807,814702,20/9/2022,
20000352,2,843141,814285,20/9/2022,
20000356,2,833420,811552,20/9/2022,
20000358,2,833383,811638,20/9/2022,
20000359,2,833474,811723,20/9/2022,
20000360,2,833562,811706,20/9/2022,
20000361,2,834458,812090,20/9/2022,
20000362,2,832363,812598,20/9/2022,
20000363,2,832110,812794,20/9/2022,
20000366,2,831543,814676,20/9/2022,
20000367,2,832110,813540,20/9/2022,
20000368,2,832217,813088,20/9/2022,
20000369,2,833276,812329,20/9/2022,
20000370,2,833409,812245,20/9/2022,
20000378,2,838605,817037,20/9/2022,
20000380,2,840802,815757,20/9/2022,
20000383,2,840819,815607,20/9/2022,
20000394,2,842371,813702,20/9/2022,
20000396,2,842220,813933,20/9/2022,
20000398,2,842032,814798,20/9/2022,
20000409,2,835553,820159,20/9/2022,
20000411,2,836008,817359,20/9/2022,
20000418,2,837712,818467,20/9/2022,
20000420,2,837218,818702,20/9/2022,
20000433,2,835785,821013,20/9/2022,
20000440,2,837381,820070,20/9/2022,
20000443,2,837318,818702,20/9/2022,
20000444,2,837430,818558,20/9/2022,
20000446,2,835365,817951,20/9/2022,
20000453,2,835132,820056,20/9/2022,
20000454,2,834683,820383,20/9/2022,
20000456,2,835397,819891,20/9/2022,
20000458,2,835484,819441,20/9/2022,
20000462,2,835440,818500,20/9/2022,
20000465,2,836353,820091,20/9/2022,
20000466,2,836302,820001,20/9/2022,
20000467,2,836172,819908,20/9/2022,
20000468,2,836066,820058,20/9/2022,
20000469,2,835928,820107,1/10/2022,
20000470,2,835696,820062,20/9/2022,
20000472,2,836206,819916,20/9/2022,
20000473,2,836261,820043,20/9/2022,
20000475,2,836877,818331,20/9/2022,
20000476,2,836126,818266,20/9/2022,
20000478,2,835816,818253,20/9/2022,
20000479,2,835550,818231,20/9/2022,
20000482,2,835614,818255,20/9/2022,
20000483,2,835804,818268,20/9/2022,
20000484,2,836151,818281,20/9/2022,
20000489,2,837848,819805,20/9/2022,
20000490,2,837670,819782,20/9/2022,
20000506,2,837503,819628,20/9/2022,
20000508,2,837856,819968,20/9/2022,
20000519,2,835408,821399,20/9/2022,
20000540,2,835260,822000,20/9/2022,
20000541,2,835679,821379,20/9/2022,
20000544,2,835628,820075,20/9/2022,
20000545,2,835644,820483,20/9/2022,
20000546,2,835497,820628,20/9/2022,
20000547,2,835786,820340,20/9/2022,
20000550,2,837316,821040,20/9/2022,
20000551,2,837566,819664,20/9/2022,
20000553,2,837383,819013,20/9/2022,
20000554,2,837406,818574,20/9/2022,
20000556,2,837325,818743,20/9/2022,
20000557,2,837365,818912,20/9/2022,
20000558,2,837368,819182,20/9/2022,
20000561,2,837271,822170,20/9/2022,
20000563,2,837308,821207,20/9/2022,
20000566,2,840174,821603,20/9/2022,
20000568,2,840200,821633,20/9/2022,
20000579,2,838163,822613,20/9/2022,
20000580,2,838083,822810,20/9/2022,
20000581,2,838223,823011,20/9/2022,
20000582,2,838141,823362,20/9/2022,
20000583,2,838227,823105,20/9/2022,
20000584,2,838239,822992,20/9/2022,
20000585,2,838078,822795,20/9/2022,
20000586,2,838281,821788,20/9/2022,
20000588,2,838883,822384,21/9/2022,
20000589,2,839501,822411,20/9/2022,
20000590,2,839464,822600,20/9/2022,
20000591,2,839075,823165,20/9/2022,
20000592,2,838688,823305,20/9/2022,
20000594,2,838752,823457,20/9/2022,
20000595,2,838969,823287,20/9/2022,
20000596,2,839090,823218,20/9/2022,
20000597,2,839480,822604,20/9/2022,
20000598,2,839526,822426,20/9/2022,
20000599,2,839432,822313,20/9/2022,
20000600,2,838756,822631,20/9/2022,
20000603,2,838368,822794,20/9/2022,
