original_Line Code,original_Direction,original_Stop Code,original_Stop ID,original_Chinese Name,original_English Name,original_Sequence,lat,lon,formatted,name,street,postcode,suburb,city,county,state,country,country_code,confidence,attribution,attribution_license,attribution_url
507,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1,22.37303446,113.9661274,"Tuen Mun Ferry Pier, Wu Chui Road, Tuen Mun South, Tuen Mun District, Hong Kong, China",Tuen Mun Ferry Pier,Wu Chui Road,,Tuen Mun South,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,SHE,240,兆禧,Siu Hei,2,22.37527213,113.9668935,"Siu Hei, Wu On Street, Tuen Mun South, Tuen Mun District, Hong Kong, China",Siu Hei,Wu On Street,,Tuen Mun South,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,TSP,250,屯門泳池,Tuen Mun Swimming Pool,3,22.38114825,113.9704043,"Tuen Mun Swimming Pool, Hoi Wong Road, Tuen Mun South, Tuen Mun District, Hong Kong, China",Tuen Mun Swimming Pool,Hoi Wong Road,,Tuen Mun South,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,GOG,260,豐景園,Goodview Garden,4,22.38338797,113.9729829,"Goodview Garden, Hang Fu Street, Tuen Mun South, Tuen Mun District, Hong Kong, China",Goodview Garden,Hang Fu Street,,Tuen Mun South,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,HOT,70,河田,Ho Tin,9,22.39742667,113.9731092,"Ho Tin, Kin Fung Circuit, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Ho Tin,Kin Fung Circuit,,Tuen Mun Central,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,CYB,75,蔡意橋,Choy Yee Bridge,10,22.39984973,113.9740977,"Choy Yee Bridge, Choi Yee Bridge Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Choy Yee Bridge,Choi Yee Bridge Road,,Tuen Mun Central,Leung Tin Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,NGW,230,銀圍,Ngan Wai,11,22.40256196,113.9745599,"Ngan Wai, Chak Fung Street, Tuen Mun North, Tuen Mun District, Hong Kong, China",Ngan Wai,Chak Fung Street,,Tuen Mun North,San Hui Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,THS,220,大興(南),Tai Hing (South),12,22.40282098,113.9720374,"Tai Hing (South), Tai Fong Street, Tuen Mun North, Tuen Mun District, Hong Kong, China",Tai Hing (South),Tai Fong Street,,Tuen Mun North,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,1,THN,212,大興(北),Tai Hing (North),13,22.40459419,113.9699993,"Tai Hing (North), Tai Fong Street, Tuen Mun North, Tuen Mun District, Hong Kong, China",Tai Hing (North),Tai Fong Street,,Tuen Mun North,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
614P,1,PUT,300,杯渡,Pui To,8,22.39451135,113.9763813,"Pui To, Tuen Mun Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Pui To,Tuen Mun Road,,Tuen Mun Central,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
614P,1,HFT,310,何福堂,Hoh Fuk Tong,9,22.39742385,113.9774041,"Hoh Fuk Tong, Castle Peak Road – San Hui, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Hoh Fuk Tong,Castle Peak Road – San Hui,,Tuen Mun Central,Leung Tin Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
614P,1,SAH,320,新墟,San Hui,10,22.40025357,113.9779796,"San Hui, Castle Peak Road – San Hui, Tuen Mun Central, Tuen Mun District, Hong Kong, China",San Hui,Castle Peak Road – San Hui,,Tuen Mun Central,Kau Hui Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
614P,1,PRV,330,景峰,Prime View,11,22.40319851,113.979442,"Prime View, Castle Peak Road – San Hui, Hung Kiu, Tuen Mun District, Hong Kong, China",Prime View,Castle Peak Road – San Hui,,Hung Kiu,San Hui Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
614P,1,FUT,340,鳳地,Fung Tei,12,22.40701048,113.9788297,"Fung Tei, Castle Peak Road – San Hui, Tuen Mun North, Tuen Mun District, Hong Kong, China",Fung Tei,Castle Peak Road – San Hui,,Tuen Mun North,San Hui Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
615P,2,TWN,50,青雲,Tsing Wun,10,22.39431722,113.9675289,"Tsing Wun Road, Tuen Mun Industrial Area, Tuen Mun District, Hong Kong, China",Tsing Wun,Tsing Wun Road,,Tuen Mun Industrial Area,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
615P,2,TSS,40,青山村,Tsing Shan Tsuen,11,22.39094306,113.967323,"Tsing Shan Tsuen, Tsing Wun Road, Tuen Mun Kau Hui, Tuen Mun District, Hong Kong, China",Tsing Shan Tsuen,Tsing Wun Road,,Tuen Mun Kau Hui,Tsing Shan Tsuen,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
