original_Line Code,original_Direction,original_Station Code,original_Station ID,original_Chinese Name,original_name,original_Sequence,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state_code,state,country,country_code,confidence,attribution,attribution_license,attribution_url
ISL,DT,NOP,31,北角,North Point,7,22.29129911,114.2005035,"North Point, King's Road, North Point, Hong Kong, China",North Point,,King's Road,,Eastern District,North Point,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,FOH,30,炮台山,Fortress Hill,8,22.28799689,114.193585,"Fortress Hill, 238 King's Road, North Point, Hong Kong, China",Fortress Hill,238,King's Road,,Eastern District,North Point,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,TIH,29,天后,Tin Hau,9,22.28242407,114.191727,"Tin Hau, 1 King's Road, Tai Hang, Hong Kong, China",Tin Hau,1,King's Road,,Wan Chai District,Tai Hang,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,CAB,28,銅鑼灣,Causeway Bay,10,22.28035791,114.1850464,"Causeway Bay, 555 Hennessy Road, Causeway Bay, Hong Kong, China",Causeway Bay,555,Hennessy Road,,Wan Chai District,Causeway Bay,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,WAC,27,灣仔,Wan Chai,11,22.27755102,114.173155,"Wan Chai, 130-150 Hennessy Road, Wan Chai, Hong Kong, China",Wan Chai,130-150,Hennessy Road,,Wan Chai District,Wan Chai,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,CEN,1,中環,Central,13,22.28195842,114.1582679,"Central, Goold Street, Chippendale NSW 2008, Australia",Central,,Goold Street,2008,,Chippendale,,Sydney,,NSW,New South Wales,Australia,au,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,SHW,26,上環,Sheung Wan,14,22.28657001,114.1518821,"Sheung Wan, Des Voeux Road Central, Sheung Wan, Hong Kong, China",Sheung Wan,,Des Voeux Road Central,,Central and Western District,Sheung Wan,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,SYP,81,西營盤,Sai Ying Pun,15,22.28553134,114.1427396,"Sai Ying Pun, Cheung On Lane, Sai Ying Pun, Hong Kong, China",Sai Ying Pun,,Cheung On Lane,,Central and Western District,Sai Ying Pun,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,HKU,82,香港大學,HKU,16,22.28399391,114.135042,"The University of Hong Kong, Pok Fu Lam Road, Shek Tong Tsui, Hong Kong, China",The University of Hong Kong,,Pok Fu Lam Road,,Central and Western District,Shek Tong Tsui,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,KET,83,堅尼地城,Kennedy Town,17,22.28123014,114.128891,"Kennedy Town, Smithfield, Kennedy Town, Hong Kong, China",Kennedy Town,,Smithfield,,Central and Western District,Kennedy Town,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,TIK,49,調景嶺,Tiu Keng Leng,1,22.30448915,114.2528687,"Tiu Keng Leng, Chui Ling Road, Tiu Keng Leng, Sai Kung District, Hong Kong, China",Tiu Keng Leng,,Chui Ling Road,,,Tiu Keng Leng,,Tseung Kwan O,Sai Kung District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,YAT,48,油塘,Yau Tong,2,22.29810798,114.2369573,"Yau Tong, Po Chiu Road, Yau Tong, Hong Kong, China",Yau Tong,,Po Chiu Road,,Kwun Tong District,Yau Tong,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,LAT,38,藍田,Lam Tin,3,22.30686136,114.2327522,"Lam Tin, Sceneway Road, Lam Tin, Hong Kong, China",Lam Tin,,Sceneway Road,,Kwun Tong District,Lam Tin,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,KWT,15,觀塘,Kwun Tong,4,22.31222115,114.2263545,"Kwun Tong Road, Kwun Tong, Hong Kong, China",Kwun Tong,,Kwun Tong Road,,Kwun Tong District,Kwun Tong,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,NTK,14,牛頭角,Ngau Tau Kok,5,22.31556974,114.2189881,"Ngau Tau Kok, Elegance Road, Ngau Tau Kok, Hong Kong, China",Ngau Tau Kok,,Elegance Road,,Kwun Tong District,Ngau Tau Kok,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,KOB,13,九龍灣,Kowloon Bay,6,22.3231801,114.2141269,"Kowloon Bay, Kwun Tong Road, Ngau Tau Kok, Hong Kong, China",Kowloon Bay,,Kwun Tong Road,,Kwun Tong District,Ngau Tau Kok,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,CHH,12,彩虹,Choi Hung,7,22.33489572,114.2089754,"Choi Hung Interchange, Ngau Chi Wan, Hong Kong, China",Choi Hung,,Choi Hung Interchange,,Wong Tai Sin District,Ngau Chi Wan,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,DIH,11,鑽石山,Diamond Hill,8,22.34003957,114.201718,"Diamond Hill, Lung Cheung Road, San Po Kong, Hong Kong, China",Diamond Hill,,Lung Cheung Road,,Wong Tai Sin District,San Po Kong,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,WTS,10,黃大仙,Wong Tai Sin,9,22.34165999,114.1938715,"Wong Tai Sin, Lung Cheung Road, Wong Tai Sin, Hong Kong, China",Wong Tai Sin,,Lung Cheung Road,,Wong Tai Sin District,Wong Tai Sin,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,LOF,9,樂富,Lok Fu,10,22.33803145,114.1870364,"Lok Fu, Junction Road, Kowloon Tsai, Hong Kong, China",Lok Fu,,Junction Road,,Wong Tai Sin District,Kowloon Tsai,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,SKM,7,石硤尾,Shek Kip Mei,12,22.33212771,114.1688117,"Shek Kip Mei, Woh Chai Street, Shek Kip Mei, Hong Kong, China",Shek Kip Mei,,Woh Chai Street,,Sham Shui Po District,Shek Kip Mei,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KTL,DT,PRE,16,太子,Prince Edward,13,22.32508724,114.1684011,"Prince Edward Road West, Mong Kok, Hong Kong, China",Prince Edward,,Prince Edward Road West,,Yau Tsim Mong District,Mong Kok,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
