original_Line Code,original_Direction,original_Station Code,original_Station ID,original_Chinese Name,original_name,original_Sequence,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state_code,state,country,country_code,confidence,attribution,attribution_license,attribution_url
TML,UT,AUS,111,柯士甸,Austin,18,22.30530261,114.1661027,"Austin, 1050 South Austin Boulevard, Oak Park, IL 60304, United States of America",Austin,1050,South Austin Boulevard,60304,,Austin,,Oak Park,Cook County,IL,Illinois,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,NAC,53,南昌,Nam Cheong,19,22.3267886,114.1536658,"Nam Cheong, Lin Cheung Road, Sham Shui Po, Hong Kong, China",Nam Cheong,,Lin Cheung Road,,Sham Shui Po District,Sham Shui Po,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,MEF,20,美孚,Mei Foo,20,22.33759658,114.1379557,"Mei Foo, Mount Sterling Mall, Lai Chi Kok, Hong Kong, China",Mei Foo,,Mount Sterling Mall,,Sham Shui Po District,Lai Chi Kok,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,TWW,114,荃灣西,Tsuen Wan West,21,22.36844424,114.1097025,"Tsuen Wan West, Hoi Kwai Road, Tsuen Wan Town Centre, Tsuen Wan District, Hong Kong, China",Tsuen Wan West,,Hoi Kwai Road,,,Tsuen Wan Town Centre,,Tsuen Wan,Tsuen Wan District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,KSR,115,錦上路,Kam Sheung Road,22,22.43477137,114.0635243,"Kam Sheung Road, Kam Ho Road, Kam Tin, Yuen Long District, Hong Kong, China",Kam Sheung Road,,Kam Ho Road,,,Kam Tin,,Kam Tin Shi,Yuen Long District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,YUL,116,元朗,Yuen Long,23,22.44609944,114.0347593,"Yuen Long Kau Hui Road, Yuen Long San Hui, Yuen Long District, Hong Kong, China",Yuen Long,,Yuen Long Kau Hui Road,,,Yuen Long San Hui,,Yuen Long,Yuen Long District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,LOP,117,朗屏,Long Ping,24,22.4476946,114.0255089,"Long Ping, Ma Wang Road, Tung Tau Industrial Area, Yuen Long District, Hong Kong, China",Long Ping,,Ma Wang Road,,,Tung Tau Industrial Area,,Yuen Long,Yuen Long District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,TIS,118,天水圍,Tin Shui Wai,25,22.44822421,114.0047447,"Tin Shui Wai, Tsui Sing Road, Kiu Tau Wai, Yuen Long District, Hong Kong, China",Tin Shui Wai,,Tsui Sing Road,,,Kiu Tau Wai,,Sheung Cheung Wai,Yuen Long District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,SIH,119,兆康,Siu Hong,26,22.41176527,113.9789984,"Siu Hong, Tuen Mun Road, Tuen Mun North, Tuen Mun District, Hong Kong, China",Siu Hong,,Tuen Mun Road,,,Tuen Mun North,,Kei Lun Wai,Tuen Mun District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TML,UT,TUM,120,屯門,Tuen Mun,27,22.394875,113.9731263,"Tuen Mun, Pui To Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Tuen Mun,,Pui To Road,,,Tuen Mun Central,,Tuen Mun,Tuen Mun District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
